loss,arch,optimizer,batch_size,lr,max_step,source_folder,curvature_figure,bimodality_figure,bimodality_precond_figure,drift_figure
MSE,CNN,SGD-Momentum,128,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2359_38_SGD-Momentum_lr0.002_b128_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Momentum/curvature_SGD-Momentum_lr0.002_b128_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Momentum/histograms_SGD-Momentum_lr0.002_b128_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Momentum/tangent_drift_SGD-Momentum_lr0.002_b128_beta-0.9.png
MSE,CNN,SGD-Momentum,32,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_53_SGD-Momentum_lr0.002_b32_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Momentum/curvature_SGD-Momentum_lr0.002_b32_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Momentum/histograms_SGD-Momentum_lr0.002_b32_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Momentum/tangent_drift_SGD-Momentum_lr0.002_b32_beta-0.9.png
MSE,CNN,SGD-Momentum,8192,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2355_45_SGD-Momentum_lr0.002_b8192_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Momentum/curvature_SGD-Momentum_lr0.002_b8192_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Momentum/histograms_SGD-Momentum_lr0.002_b8192_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Momentum/tangent_drift_SGD-Momentum_lr0.002_b8192_beta-0.9.png
MSE,CNN,SGD-Momentum,8,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2359_04_SGD-Momentum_lr0.002_b8_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Momentum/curvature_SGD-Momentum_lr0.002_b8_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Momentum/histograms_SGD-Momentum_lr0.002_b8_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Momentum/tangent_drift_SGD-Momentum_lr0.002_b8_beta-0.9.png
MSE,CNN,SGD-Nesterov,1024,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_16_SGD-Nesterov_lr0.002_b1024_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Nesterov/curvature_SGD-Nesterov_lr0.002_b1024_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Nesterov/histograms_SGD-Nesterov_lr0.002_b1024_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Nesterov/tangent_drift_SGD-Nesterov_lr0.002_b1024_beta-0.9.png
MSE,CNN,SGD-Nesterov,128,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_27_SGD-Nesterov_lr0.002_b128_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Nesterov/curvature_SGD-Nesterov_lr0.002_b128_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Nesterov/histograms_SGD-Nesterov_lr0.002_b128_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Nesterov/tangent_drift_SGD-Nesterov_lr0.002_b128_beta-0.9.png
MSE,CNN,SGD-Nesterov,32,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2356_24_SGD-Nesterov_lr0.002_b32_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Nesterov/curvature_SGD-Nesterov_lr0.002_b32_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Nesterov/histograms_SGD-Nesterov_lr0.002_b32_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Nesterov/tangent_drift_SGD-Nesterov_lr0.002_b32_beta-0.9.png
MSE,CNN,SGD-Nesterov,8192,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260524_1500_16_SGD-Nesterov_lr0.002_b8192_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Nesterov/curvature_SGD-Nesterov_lr0.002_b8192_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Nesterov/histograms_SGD-Nesterov_lr0.002_b8192_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Nesterov/tangent_drift_SGD-Nesterov_lr0.002_b8192_beta-0.9.png
MSE,CNN,SGD-Nesterov,8,0.002,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260524_1500_16_SGD-Nesterov_lr0.002_b8_beta-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD-Nesterov/curvature_SGD-Nesterov_lr0.002_b8_beta-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD-Nesterov/histograms_SGD-Nesterov_lr0.002_b8_beta-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD-Nesterov/tangent_drift_SGD-Nesterov_lr0.002_b8_beta-0.9.png
MSE,CNN,SGD,1024,0.02,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_43_SGD_lr0.02_b1024,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD/curvature_SGD_lr0.02_b1024.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD/histograms_SGD_lr0.02_b1024.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD/tangent_drift_SGD_lr0.02_b1024.png
