cell,optn,beta,batch,arch,stationary,gbs,kspec,r1,step_top,u_rot,cv_lam
L_adam05_b2048_s0,Adam,0.5,2048,mlp_s,True,1.820819083007132,0.5657004465684526,-0.7714670262668731,0.0006528373483448756,0.05648910999298096,0.7288700235007953
L_adam05_b2048_s1,Adam,0.5,2048,mlp_s,True,1.8199381563932815,0.4818962131992362,-0.7545763430749123,0.0006719114019641517,0.045987337827682495,0.7111005301017304
L_adam_b128_s0,Adam,0.9,128,mlp_s,True,1.3380780359953115,1.1805818333361582,-0.04688259145659762,1.729695646235189e-05,0.7893506065011024,0.1338380995479275
L_adam_b128_s1,Adam,0.9,128,mlp_s,True,1.3365980645596989,1.181756591779635,-0.05018020056426847,1.7677834129803905e-05,0.7837544083595276,0.13643463004635584
L_adam_b2048_s0,Adam,0.9,2048,mlp_s,True,2.0540733698404683,1.9421235245087205,-0.9589469499704988,0.0002695812609808944,0.10661312937736511,0.06349965848149737
L_adam_b2048_s1,Adam,0.9,2048,mlp_s,True,2.052255679127395,1.938213396219762,-0.9563679120522959,0.0002677958944771327,0.11017480492591858,0.06383067589669947
L_adam_b2048_s2,Adam,0.9,2048,mlp_s,True,2.049148737074346,1.9401045709517546,-0.9590006929303712,0.0002750550736995215,0.10708969831466675,0.06228440816848403
L_adam_b2048_s3,Adam,0.9,2048,mlp_s,True,2.05619317090733,1.9400976695419234,-0.9602157327210292,0.0002749763093223104,0.11005127429962158,0.06251155981504959
L_adam_b2048_s4,Adam,0.9,2048,mlp_s,True,2.0504403873276855,1.9360846743385007,-0.956124457025135,0.0002675273487170515,0.11286324262619019,0.06472429525021628
L_adam_b8_s0,Adam,0.9,8,mlp_s,False,0.40612428742524714,0.3868383620649067,0.18786921762824307,0.00010119321617009936,0.9721692036837339,0.6044122594082884
L_adam_b8_s1,Adam,0.9,8,mlp_s,False,0.41215432464917434,0.4001324436111998,0.18736309173654936,0.00010174544599608353,0.9733852380886674,0.6005342452193652
L_b128_beta0.9_s0,SGD-Momentum,0.9,128,mlp_s,True,1.530233398944398,1.5140047318532215,-0.06741192676432828,0.017600297693927278,0.10810881853103638,0.11879126780532283
L_b128_beta0.9_s1,SGD-Momentum,0.9,128,mlp_s,True,1.5285993652134564,1.5401859480799664,-0.09932556268933114,0.01654178689050669,0.10715660452842712,0.11989517997857335
L_b32_beta0.9_s0,SGD-Momentum,0.9,32,mlp_s,True,0.6164585152887856,0.5372631235518617,0.2803242310505787,0.037967711985660534,0.8763806857168674,0.20417306446957081
L_b32_beta0.9_s1,SGD-Momentum,0.9,32,mlp_s,True,0.6132126671023184,0.5458391416959012,0.31748810769407326,0.03727218699355654,0.8673589751124382,0.20549266547490774
L_b512_beta0.9_s0,SGD-Momentum,0.9,512,mlp_s,True,2.363491538556513,2.0145240616240008,-0.8915156939250106,0.01243114101738153,0.022690027952194214,0.051423212844072246
L_b512_beta0.9_s1,SGD-Momentum,0.9,512,mlp_s,True,2.138585395575072,2.007786439147982,-0.8804365220410372,0.025641418021511098,0.024110347032546997,0.0533572903475887
L_b512_beta0.9_s2,SGD-Momentum,0.9,512,mlp_s,True,2.3123867396736246,1.991723656994216,-0.8822612646884566,0.01602901984720118,0.022436708211898804,0.052519128391465345
L_b512_beta0.9_s3,SGD-Momentum,0.9,512,mlp_s,True,2.3009316320765567,1.993595478350279,-0.8868389542950288,0.016045467441147584,0.02425473928451538,0.0505885914935957
L_b512_beta0.9_s4,SGD-Momentum,0.9,512,mlp_s,True,2.2813445112003974,2.0087382564537397,-0.90393311698338,0.017198536295911688,0.022189706563949585,0.05143496514346527
L_b64_beta0.9_s0,SGD-Momentum,0.9,64,mlp_s,True,1.0193820403735343,1.0345472529289577,0.32737378409062523,0.015136622061507274,0.22499951720237732,0.16235664824770785
L_b64_beta0.9_s1,SGD-Momentum,0.9,64,mlp_s,True,1.028367737679293,1.0510575363789876,0.31856901362795037,0.016643627890737478,0.22704151272773743,0.1641372985778275
L_b8_beta0.99_s0,SGD-Momentum,0.99,8,mlp_s,True,0.1320585895161795,0.03318758699100838,0.246355910115009,0.0055426920225346695,0.940507972612977,0.31732569175150577
L_b8_beta0.99_s1,SGD-Momentum,0.99,8,mlp_s,True,0.13312241273229874,0.032383407089337846,0.2537013157250891,0.00548320941012898,0.9422687906771898,0.3173884813851056
L_b8_beta0.9_s0,SGD-Momentum,0.9,8,mlp_s,True,0.29434957487110275,0.32930834246995666,0.16073196839808226,0.033211634397291134,0.9672447629272938,0.3231458058519832
L_b8_beta0.9_s1,SGD-Momentum,0.9,8,mlp_s,True,0.29440687601196025,0.3296619112068872,0.1698696163816712,0.03294800412846774,0.9664003103971481,0.3237541728816055
L_muon_b2048_s0,Muon,0.95,2048,mlp_s,False,2.0024925120185806,1.3331439731574297,-0.5991764997008433,0.0008370656121271038,1e-06,0.29029451587837196
L_muon_b2048_s1,Muon,0.95,2048,mlp_s,False,2.0010123661786876,1.349803314083531,-0.6009256967294019,0.0008605117800369083,1e-06,0.2956650308589798
L_muon_b2048_s2,Muon,0.95,2048,mlp_s,False,2.0006429503760534,1.3443871867351136,-0.5850861475293615,0.0009222318729023983,1e-06,0.2930378118161398
L_nest_b128_beta0.9_s0,SGD-Nesterov,0.9,128,mlp_s,True,1.7218334150011485,2.2198854998200983,-0.9454434695267022,0.08479460878326084,0.1291353702545166,0.11031740018898557
L_nest_b128_beta0.9_s1,SGD-Nesterov,0.9,128,mlp_s,True,1.583200600799201,2.205961032228408,-0.9254427509936195,0.06823008850028028,0.12775099277496338,0.11167870376503011
L_nest_b128_beta0.9_s2,SGD-Nesterov,0.9,128,mlp_s,True,1.7714965775534002,2.2383927707909446,-0.964478358667554,0.15150262249444577,0.1259976029396057,0.11140035862254921
L_nest_b128_beta0.9_s3,SGD-Nesterov,0.9,128,mlp_s,True,1.6627477636679746,2.22351411751625,-0.9604643984962762,0.05447793985762682,0.12553679943084717,0.10990032195307231
L_nest_b128_beta0.9_s4,SGD-Nesterov,0.9,128,mlp_s,True,1.8178413722614137,2.2513864524858325,-0.9606747203212448,0.16169349532011207,0.13025543093681335,0.109834507888682
L_nest_b2048_beta0.9_s0,SGD-Nesterov,0.9,2048,mlp_s,True,1.9998270827316333,2.003191197501397,-0.9996163647439678,0.9994028581169985,1e-06,0.002855599581874755
L_nest_b2048_beta0.9_s1,SGD-Nesterov,0.9,2048,mlp_s,True,1.9999382088371296,2.0013197082144685,-0.9998117424236187,0.772526637429187,1e-06,0.0014744744547359758
